Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	0.101688557	0.973304761	5046.358	8245.033	0.8716	3198.675	-78.22	AMPRTU
2	Spectrogram 1	1	1.118574128	2.135459699	5066.225	8245.033	1.0169	3178.808	-79.10	AMPRTU
3	Spectrogram 1	1	2.266202129	3.137818333	5086.093	8086.093	0.8716	3000.000	-79.14	AMPRTU
4	Spectrogram 1	1	3.195926080	4.575985069	5165.563	8086.093	1.3801	2920.530	-78.18	AMPRTU
5	Spectrogram 1	1	4.706727500	7.481372414	5165.563	8225.166	2.7746	3059.603	-78.80	AMPRTU
6	Spectrogram 1	1	7.554007098	8.440150238	5026.490	8145.695	0.8861	3119.205	-79.47	AMPRTU
7	Spectrogram 1	1	8.512784922	11.592495508	5046.358	8185.430	3.0797	3139.073	-78.91	AMPRTU
8	Spectrogram 1	1	11.823156757	12.491395847	5006.623	8284.768	0.6682	3278.146	-78.89	AMPRTU
9	Spectrogram 1	1	12.564030530	12.810988455	5026.490	8225.166	0.2470	3198.675	-79.74	AMPRTU
10	Spectrogram 1	1	12.883623138	13.116054126	5046.358	8324.503	0.2324	3278.146	-77.01	AMPRTU
11	Spectrogram 1	1	13.154791790	13.329115030	5026.490	8284.768	0.1743	3258.278	-77.04	AMPRTU
12	Spectrogram 1	1	13.379959309	13.706815385	5125.828	8245.033	0.3269	3119.205	-78.35	AMPRTU
13	Spectrogram 1	1	13.750396195	14.215258171	5026.490	8205.298	0.4649	3178.808	-76.93	AMPRTU
14	Spectrogram 1	1	14.353264070	15.137718653	5006.623	8125.828	0.7845	3119.205	-79.12	AMPRTU
15	Spectrogram 1	1	15.210353336	15.290251488	4986.755	8066.225	0.0799	3079.470	-77.51	AMPRTU
16	Spectrogram 1	1	15.370149640	17.491082403	5125.828	8245.033	2.1209	3119.205	-79.32	AMPRTU
17	Spectrogram 1	1	17.561884271	20.525379363	5165.563	8185.430	2.9635	3019.868	-78.60	AMPRTU
18	Spectrogram 1	1	20.692439136	30.181341802	4947.020	8523.179	9.4889	3576.159	-78.68	AMPRTU
19	Spectrogram 1	1	30.420904814	32.599945323	4788.079	8543.046	2.1790	3754.967	-78.16	AMPRTU
20	Spectrogram 1	1	32.708897348	33.820208008	4907.285	8602.649	1.1113	3695.364	-77.70	AMPRTU
21	Spectrogram 1	1	33.936423502	34.183381426	5006.623	8543.046	0.2470	3536.424	-77.92	AMPRTU
22	Spectrogram 1	1	34.357704667	35.193003528	4887.417	8602.649	0.8353	3715.232	-77.62	AMPRTU
23	Spectrogram 1	1	35.301955554	36.093673606	4947.020	8582.781	0.7917	3635.762	-78.36	AMPRTU
24	Spectrogram 1	1	36.208906969	40.683203481	4986.755	8602.649	4.4743	3615.894	-78.43	AMPRTU
25	Spectrogram 1	1	40.897573237	42.459218935	5046.358	8582.781	1.5616	3536.424	-77.69	AMPRTU
26	Spectrogram 1	1	42.597224834	42.931344378	4947.020	8602.649	0.3341	3655.629	-77.30	AMPRTU
27	Spectrogram 1	1	43.003979062	43.832014455	5125.828	8562.914	0.8280	3437.086	-78.81	AMPRTU
28	Spectrogram 1	1	43.919176076	44.427618861	5086.093	8701.987	0.5084	3615.894	-77.16	AMPRTU
29	Spectrogram 1	1	44.551097823	63.426503710	5086.093	8622.517	18.8754	3536.424	-78.23	AMPRTU
30	Spectrogram 1	1	63.649583200	67.984407488	5026.490	8582.781	4.3348	3556.291	-78.06	AMPRTU
31	Spectrogram 1	1	68.210393588	71.538552521	4986.755	8543.046	3.3282	3556.291	-78.29	AMPRTU
32	Spectrogram 1	1	71.675821864	117.905205720	4807.947	8503.311	46.2294	3695.364	-78.65	AMPRTU
33	Spectrogram 1	1	118.020444916	197.787274798	4788.079	8403.974	79.7668	3615.894	-78.79	AMPRTU
34	Spectrogram 1	1	197.992716707	206.272025655	4807.947	8503.311	8.2793	3695.364	-80.26	AMPRTU
35	Spectrogram 1	1	206.526737741	218.226654481	4589.404	8403.974	11.6999	3814.570	-79.88	AMPRTU
36	Spectrogram 1	1	219.369656956	221.608973769	4728.477	8801.325	2.2393	4072.848	-79.86	AMPRTU
37	Spectrogram 1	1	221.896592442	224.988493178	4827.815	8801.325	3.0919	3973.510	-81.23	AMPRTU
